current path: saved_models/model_loan_May.02_10.44.30
Loading data
Loading data
Loading data
We use following environment for graphs:  ppdl_experiment
There are 0 adversaries in the training.
model 0 | epoch   1 | internal_epoch   1 |    45/ 4184 batches | lr 0.10 | ms/batch  1.96 | loss  1.29 | ppl     3.62
model 0 | epoch   1 | internal_epoch   1 |    46/ 4184 batches | lr 0.10 | ms/batch  2.04 | loss  1.11 | ppl     3.04
model 0 | epoch   1 | internal_epoch   1 |    47/ 4184 batches | lr 0.10 | ms/batch  2.05 | loss  0.91 | ppl     2.49
model 0 | epoch   1 | internal_epoch   1 |    48/ 4184 batches | lr 0.10 | ms/batch  1.79 | loss  0.91 | ppl     2.47
model 0 | epoch   1 | internal_epoch   1 |    49/ 4184 batches | lr 0.10 | ms/batch  2.04 | loss  1.05 | ppl     2.85
model 0 | epoch   1 | internal_epoch   1 |    50/ 4184 batches | lr 0.10 | ms/batch  1.79 | loss  1.20 | ppl     3.32
model 0 | epoch   1 | internal_epoch   1 |    51/ 4184 batches | lr 0.10 | ms/batch  1.76 | loss  0.89 | ppl     2.44
model 0 | epoch   1 | internal_epoch   1 |    52/ 4184 batches | lr 0.10 | ms/batch  1.79 | loss  1.08 | ppl     2.94
model 0 | epoch   1 | internal_epoch   1 |    53/ 4184 batches | lr 0.10 | ms/batch  2.02 | loss  1.28 | ppl     3.59
model 0 | epoch   1 | internal_epoch   1 |    54/ 4184 batches | lr 0.10 | ms/batch  1.76 | loss  1.01 | ppl     2.74
model 0 | epoch   1 | internal_epoch   1 |    55/ 4184 batches | lr 0.10 | ms/batch  1.72 | loss  1.08 | ppl     2.93
model 0 | epoch   1 | internal_epoch   1 |    56/ 4184 batches | lr 0.10 | ms/batch  2.03 | loss  0.98 | ppl     2.68
model 0 | epoch   1 | internal_epoch   1 |    57/ 4184 batches | lr 0.10 | ms/batch  1.82 | loss  1.20 | ppl     3.33
model 0 | epoch   1 | internal_epoch   1 |    58/ 4184 batches | lr 0.10 | ms/batch  1.92 | loss  0.92 | ppl     2.50
model 0 | epoch   1 | internal_epoch   1 |    59/ 4184 batches | lr 0.10 | ms/batch  1.99 | loss  1.06 | ppl     2.87
model 0 | epoch   1 | internal_epoch   1 |    60/ 4184 batches | lr 0.10 | ms/batch  1.68 | loss 22423.63 | ppl    -1.00
model 0 | epoch   1 | internal_epoch   1 |    61/ 4184 batches | lr 0.10 | ms/batch  1.73 | loss  1.07 | ppl     2.91
model 0 | epoch   1 | internal_epoch   1 |    62/ 4184 batches | lr 0.10 | ms/batch  2.07 | loss  1.20 | ppl     3.31
model 0 | epoch   1 | internal_epoch   1 |    63/ 4184 batches | lr 0.10 | ms/batch  1.79 | loss  1.12 | ppl     3.08
model 0 | epoch   1 | internal_epoch   1 |    64/ 4184 batches | lr 0.10 | ms/batch  1.79 | loss  1.03 | ppl     2.82
model 0 | epoch   1 | internal_epoch   1 |    65/ 4184 batches | lr 0.10 | ms/batch  1.78 | loss  0.89 | ppl     2.44
model 0 | epoch   1 | internal_epoch   1 |    66/ 4184 batches | lr 0.10 | ms/batch  2.00 | loss  1.15 | ppl     3.17
model 0 | epoch   1 | internal_epoch   1 |    67/ 4184 batches | lr 0.10 | ms/batch  1.74 | loss  0.99 | ppl     2.68
model 0 | epoch   1 | internal_epoch   1 |    68/ 4184 batches | lr 0.10 | ms/batch  2.00 | loss  1.15 | ppl     3.15
model 0 | epoch   1 | internal_epoch   1 |    69/ 4184 batches | lr 0.10 | ms/batch  1.75 | loss  0.90 | ppl     2.46
model 0 | epoch   1 | internal_epoch   1 |    70/ 4184 batches | lr 0.10 | ms/batch  1.96 | loss  1.43 | ppl     4.17
model 0 | epoch   1 | internal_epoch   1 |    71/ 4184 batches | lr 0.10 | ms/batch  1.76 | loss  1.48 | ppl     4.40
model 0 | epoch   1 | internal_epoch   1 |    72/ 4184 batches | lr 0.10 | ms/batch  1.99 | loss  0.98 | ppl     2.65
model 0 | epoch   1 | internal_epoch   1 |    73/ 4184 batches | lr 0.10 | ms/batch  2.07 | loss  1.01 | ppl     2.75
model 0 | epoch   1 | internal_epoch   1 |    74/ 4184 batches | lr 0.10 | ms/batch  2.09 | loss  1.20 | ppl     3.32
model 0 | epoch   1 | internal_epoch   1 |    75/ 4184 batches | lr 0.10 | ms/batch  2.02 | loss  1.21 | ppl     3.35
model 0 | epoch   1 | internal_epoch   1 |    76/ 4184 batches | lr 0.10 | ms/batch  1.77 | loss  0.80 | ppl     2.22
model 0 | epoch   1 | internal_epoch   1 |    77/ 4184 batches | lr 0.10 | ms/batch  1.82 | loss 15.58 | ppl 5834582.55
model 0 | epoch   1 | internal_epoch   1 |    78/ 4184 batches | lr 0.10 | ms/batch  1.82 | loss  1.10 | ppl     3.01
model 0 | epoch   1 | internal_epoch   1 |    79/ 4184 batches | lr 0.10 | ms/batch  1.82 | loss  1.43 | ppl     4.18
model 0 | epoch   1 | internal_epoch   1 |    80/ 4184 batches | lr 0.10 | ms/batch  1.82 | loss  0.91 | ppl     2.48
model 0 | epoch   1 | internal_epoch   1 |    81/ 4184 batches | lr 0.10 | ms/batch  1.96 | loss  0.93 | ppl     2.54
model 0 | epoch   1 | internal_epoch   1 |    82/ 4184 batches | lr 0.10 | ms/batch  1.78 | loss  1.04 | ppl     2.84
model 0 | epoch   1 | internal_epoch   1 |    83/ 4184 batches | lr 0.10 | ms/batch  2.08 | loss  1.00 | ppl     2.71
model 0 | epoch   1 | internal_epoch   1 |    84/ 4184 batches | lr 0.10 | ms/batch  1.79 | loss  0.99 | ppl     2.70
model 0 | epoch   1 | internal_epoch   1 |    85/ 4184 batches | lr 0.10 | ms/batch  2.00 | loss  0.99 | ppl     2.69
model 0 | epoch   1 | internal_epoch   1 |    86/ 4184 batches | lr 0.10 | ms/batch  1.78 | loss  1.14 | ppl     3.12
model 0 | epoch   1 | internal_epoch   1 |    87/ 4184 batches | lr 0.10 | ms/batch  1.82 | loss  0.98 | ppl     2.67
model 0 | epoch   1 | internal_epoch   1 |    88/ 4184 batches | lr 0.10 | ms/batch  1.88 | loss  1.05 | ppl     2.85
model 0 | epoch   1 | internal_epoch   1 |    89/ 4184 batches | lr 0.10 | ms/batch  1.71 | loss  1.09 | ppl     2.97
model 0 | epoch   1 | internal_epoch   1 |    90/ 4184 batches | lr 0.10 | ms/batch  1.76 | loss  1.02 | ppl     2.78
model 0 | epoch   1 | internal_epoch   1 |    91/ 4184 batches | lr 0.10 | ms/batch  1.88 | loss  1.12 | ppl     3.08
model 0 | epoch   1 | internal_epoch   1 |    92/ 4184 batches | lr 0.10 | ms/batch  1.98 | loss  1.18 | ppl     3.25
model 0 | epoch   1 | internal_epoch   1 |    93/ 4184 batches | lr 0.10 | ms/batch  1.74 | loss  1.07 | ppl     2.90
model 0 | epoch   1 | internal_epoch   1 |    94/ 4184 batches | lr 0.10 | ms/batch  2.03 | loss  1.14 | ppl     3.12
model 0 | epoch   1 | internal_epoch   1 |    95/ 4184 batches | lr 0.10 | ms/batch  2.03 | loss  1.03 | ppl     2.81
model 0 | epoch   1 | internal_epoch   1 |    96/ 4184 batches | lr 0.10 | ms/batch  2.13 | loss  1.00 | ppl     2.71
model 0 | epoch   1 | internal_epoch   1 |    97/ 4184 batches | lr 0.10 | ms/batch  1.67 | loss  0.98 | ppl     2.67
model 0 | epoch   1 | internal_epoch   1 |    98/ 4184 batches | lr 0.10 | ms/batch  1.75 | loss  0.90 | ppl     2.45
model 0 | epoch   1 | internal_epoch   1 |    99/ 4184 batches | lr 0.10 | ms/batch  1.96 | loss  0.96 | ppl     2.62
model 0 | epoch   1 | internal_epoch   1 |   100/ 4184 batches | lr 0.10 | ms/batch  1.77 | loss  1.14 | ppl     3.11
model 0 | epoch   1 | internal_epoch   1 |   101/ 4184 batches | lr 0.10 | ms/batch  1.72 | loss  0.95 | ppl     2.60
model 0 | epoch   1 | internal_epoch   1 |   102/ 4184 batches | lr 0.10 | ms/batch  2.07 | loss  1.07 | ppl     2.91
model 0 | epoch   1 | internal_epoch   1 |   103/ 4184 batches | lr 0.10 | ms/batch  1.74 | loss  1.03 | ppl     2.79
model 0 | epoch   1 | internal_epoch   1 |   104/ 4184 batches | lr 0.10 | ms/batch  2.09 | loss  1.33 | ppl     3.76
model 0 | epoch   1 | internal_epoch   1 |   105/ 4184 batches | lr 0.10 | ms/batch  1.79 | loss  0.82 | ppl     2.26
model 0 | epoch   1 | internal_epoch   1 |   106/ 4184 batches | lr 0.10 | ms/batch  1.87 | loss  0.99 | ppl     2.68
model 0 | epoch   1 | internal_epoch   1 |   107/ 4184 batches | lr 0.10 | ms/batch  2.06 | loss  0.89 | ppl     2.42
model 0 | epoch   1 | internal_epoch   1 |   108/ 4184 batches | lr 0.10 | ms/batch  2.10 | loss  1.31 | ppl     3.72
model 0 | epoch   1 | internal_epoch   1 |   109/ 4184 batches | lr 0.10 | ms/batch  2.11 | loss  0.91 | ppl     2.49
model 0 | epoch   1 | internal_epoch   1 |   110/ 4184 batches | lr 0.10 | ms/batch  2.07 | loss  1.20 | ppl     3.32
model 0 | epoch   1 | internal_epoch   1 |   111/ 4184 batches | lr 0.10 | ms/batch  1.81 | loss  1.54 | ppl     4.66
model 0 | epoch   1 | internal_epoch   1 |   112/ 4184 batches | lr 0.10 | ms/batch  2.02 | loss  1.37 | ppl     3.95
model 0 | epoch   1 | internal_epoch   1 |   113/ 4184 batches | lr 0.10 | ms/batch  2.06 | loss  1.10 | ppl     3.01
model 0 | epoch   1 | internal_epoch   1 |   114/ 4184 batches | lr 0.10 | ms/batch  1.79 | loss  0.92 | ppl     2.51
model 0 | epoch   1 | internal_epoch   1 |   115/ 4184 batches | lr 0.10 | ms/batch  1.70 | loss  1.05 | ppl     2.85
model 0 | epoch   1 | internal_epoch   1 |   116/ 4184 batches | lr 0.10 | ms/batch  1.95 | loss  0.99 | ppl     2.68
model 0 | epoch   1 | internal_epoch   1 |   117/ 4184 batches | lr 0.10 | ms/batch  1.76 | loss  1.19 | ppl     3.29
model 0 | epoch   1 | internal_epoch   1 |   118/ 4184 batches | lr 0.10 | ms/batch  2.00 | loss  1.07 | ppl     2.91
model 0 | epoch   1 | internal_epoch   1 |   119/ 4184 batches | lr 0.10 | ms/batch  2.10 | loss  1.14 | ppl     3.11
model 0 | epoch   1 | internal_epoch   1 |   120/ 4184 batches | lr 0.10 | ms/batch  1.77 | loss  0.92 | ppl     2.52
model 0 | epoch   1 | internal_epoch   1 |   121/ 4184 batches | lr 0.10 | ms/batch  2.04 | loss  1.21 | ppl     3.36
model 0 | epoch   1 | internal_epoch   1 |   122/ 4184 batches | lr 0.10 | ms/batch  1.75 | loss  1.20 | ppl     3.33
model 0 | epoch   1 | internal_epoch   1 |   123/ 4184 batches | lr 0.10 | ms/batch  1.96 | loss  1.04 | ppl     2.84
model 0 | epoch   1 | internal_epoch   1 |   124/ 4184 batches | lr 0.10 | ms/batch  1.76 | loss  1.03 | ppl     2.80
model 0 | epoch   1 | internal_epoch   1 |   125/ 4184 batches | lr 0.10 | ms/batch  1.85 | loss  1.10 | ppl     3.00
model 0 | epoch   1 | internal_epoch   1 |   126/ 4184 batches | lr 0.10 | ms/batch  1.72 | loss  0.88 | ppl     2.40
model 0 | epoch   1 | internal_epoch   1 |   127/ 4184 batches | lr 0.10 | ms/batch  2.05 | loss  1.11 | ppl     3.02
model 0 | epoch   1 | internal_epoch   1 |   128/ 4184 batches | lr 0.10 | ms/batch  2.08 | loss  1.17 | ppl     3.23
model 0 | epoch   1 | internal_epoch   1 |   129/ 4184 batches | lr 0.10 | ms/batch  2.00 | loss  1.03 | ppl     2.79
model 0 | epoch   1 | internal_epoch   1 |   130/ 4184 batches | lr 0.10 | ms/batch  1.73 | loss  0.93 | ppl     2.53
model 0 | epoch   1 | internal_epoch   1 |   131/ 4184 batches | lr 0.10 | ms/batch  2.04 | loss  0.91 | ppl     2.47
model 0 | epoch   1 | internal_epoch   1 |   132/ 4184 batches | lr 0.10 | ms/batch  1.78 | loss  0.95 | ppl     2.58
model 0 | epoch   1 | internal_epoch   1 |   133/ 4184 batches | lr 0.10 | ms/batch  1.93 | loss  1.01 | ppl     2.75
model 0 | epoch   1 | internal_epoch   1 |   134/ 4184 batches | lr 0.10 | ms/batch  2.06 | loss  0.96 | ppl     2.62
model 0 | epoch   1 | internal_epoch   1 |   135/ 4184 batches | lr 0.10 | ms/batch  2.09 | loss  1.32 | ppl     3.73
